board,decision,Input
OXOX     ,5,"[2, 1, 2, 1, 0, 0, 0, 0, 0]"
OOXX OXOX,5,"[2, 2, 1, 1, 0, 2, 1, 2, 1]"
O XOX  X ,7,"[2, 0, 1, 2, 1, 0, 0, 1, 0]"
X  XOX  O,7,"[1, 0, 0, 1, 2, 1, 0, 0, 2]"
 OXXX  OO,6,"[0, 2, 1, 1, 1, 0, 0, 2, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X X XOO  ,9,"[1, 0, 1, 0, 1, 2, 2, 0, 0]"
 OXOX  XO,7,"[0, 2, 1, 2, 1, 0, 0, 1, 2]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XX  O  O ,7,"[1, 1, 0, 0, 2, 0, 0, 2, 0]"
XO X   O ,5,"[1, 2, 0, 1, 0, 0, 0, 2, 0]"
 XOOX X O,8,"[0, 1, 2, 2, 1, 0, 1, 0, 2]"
O X O OXX,6,"[2, 0, 1, 0, 2, 0, 2, 1, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXXOXX  O,7,"[2, 1, 1, 2, 1, 1, 0, 0, 2]"
OX XO O X,3,"[2, 1, 0, 1, 2, 0, 2, 0, 1]"
O  XXOXOX,3,"[2, 0, 0, 1, 1, 2, 1, 2, 1]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
XOOXX O  ,6,"[1, 2, 2, 1, 1, 0, 2, 0, 0]"
 OXO   X ,7,"[0, 2, 1, 2, 0, 0, 0, 1, 0]"
  XXX O O,8,"[0, 0, 1, 1, 1, 0, 2, 0, 2]"
  XO  X  ,5,"[0, 0, 1, 2, 0, 0, 1, 0, 0]"
 OO XX   ,1,"[0, 2, 2, 0, 1, 1, 0, 0, 0]"
XXOOXXOO ,9,"[1, 1, 2, 2, 1, 1, 2, 2, 0]"
OX   X   ,7,"[2, 1, 0, 0, 0, 1, 0, 0, 0]"
OOXX   OX,5,"[2, 2, 1, 1, 0, 0, 0, 2, 1]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXX OXOX ,4,"[2, 1, 1, 0, 2, 1, 2, 1, 0]"
OX     XO,5,"[2, 1, 0, 0, 0, 0, 0, 1, 2]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XXOO O  X,5,"[1, 1, 2, 2, 0, 2, 0, 0, 1]"
   X     ,6,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
    X XO ,3,"[0, 0, 0, 0, 1, 0, 1, 2, 0]"
     X   ,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
    X O  ,9,"[0, 0, 0, 0, 1, 0, 2, 0, 0]"
 X OOX  X,3,"[0, 1, 0, 2, 2, 1, 0, 0, 1]"
  X   O  ,1,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
     XOXO,5,"[0, 0, 0, 0, 0, 1, 2, 1, 2]"
X XOX OXO,2,"[1, 0, 1, 2, 1, 0, 2, 1, 2]"
O OX X OX,5,"[2, 0, 2, 1, 0, 1, 0, 2, 1]"
