board,decision,Input
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OO    XX,1,"[0, 2, 2, 0, 0, 0, 0, 1, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OX  XOX O,3,"[2, 1, 0, 0, 1, 2, 1, 0, 2]"
O  XO   X,8,"[2, 0, 0, 1, 2, 0, 0, 0, 1]"
     X   ,4,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
OO    X X,3,"[2, 2, 0, 0, 0, 0, 1, 0, 1]"
 X  O    ,9,"[0, 1, 0, 0, 2, 0, 0, 0, 0]"
  X  XOXO,1,"[0, 0, 1, 0, 0, 1, 2, 1, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
 XO XX OO,4,"[0, 1, 2, 0, 1, 1, 0, 2, 2]"
  OX X   ,5,"[0, 0, 2, 1, 0, 1, 0, 0, 0]"
XO XOO XX,7,"[1, 2, 0, 1, 2, 2, 0, 1, 1]"
XO   O  X,4,"[1, 2, 0, 0, 0, 2, 0, 0, 1]"
O XXO  X ,9,"[2, 0, 1, 1, 2, 0, 0, 1, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XXO X  O,1,"[0, 1, 1, 2, 0, 1, 0, 0, 2]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  X O  X ,4,"[0, 0, 1, 0, 2, 0, 0, 1, 0]"
 OOXOX XX,1,"[0, 2, 2, 1, 2, 1, 0, 1, 1]"
XO  O XX ,4,"[1, 2, 0, 0, 2, 0, 1, 1, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  XXOO   ,1,"[0, 0, 1, 1, 2, 2, 0, 0, 0]"
    X   O,3,"[0, 0, 0, 0, 1, 0, 0, 0, 2]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
X    O   ,3,"[1, 0, 0, 0, 0, 2, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O  X XX O,5,"[2, 0, 0, 1, 0, 1, 1, 0, 2]"
 XO OX   ,7,"[0, 1, 2, 0, 2, 1, 0, 0, 0]"
  OX    X,1,"[0, 0, 2, 1, 0, 0, 0, 0, 1]"
XX  XOO  ,4,"[1, 1, 0, 0, 1, 2, 2, 0, 0]"
O      X ,7,"[2, 0, 0, 0, 0, 0, 0, 1, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O   XX  O,7,"[2, 0, 0, 0, 1, 1, 0, 0, 2]"
   X   O ,5,"[0, 0, 0, 1, 0, 0, 0, 2, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
 OOXX  XO,6,"[0, 2, 2, 1, 1, 0, 0, 1, 2]"
OXO OX XX,7,"[2, 1, 2, 0, 2, 1, 0, 1, 1]"
OX  X O  ,4,"[2, 1, 0, 0, 1, 0, 2, 0, 0]"
X OO    X,8,"[1, 0, 2, 2, 0, 0, 0, 0, 1]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
     X   ,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
      XO ,5,"[0, 0, 0, 0, 0, 0, 1, 2, 0]"
OO  XXX  ,3,"[2, 2, 0, 0, 1, 1, 1, 0, 0]"
 OOXOXXXO,1,"[0, 2, 2, 1, 2, 1, 1, 1, 2]"
OO  OX XX,7,"[2, 2, 0, 0, 2, 1, 0, 1, 1]"
O X XX O ,4,"[2, 0, 1, 0, 1, 1, 0, 2, 0]"
XXOOX XO ,9,"[1, 1, 2, 2, 1, 0, 1, 2, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X   O   ,5,"[0, 1, 0, 0, 0, 2, 0, 0, 0]"
   X     ,7,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
OX   X O ,7,"[2, 1, 0, 0, 0, 1, 0, 2, 0]"
 OXOOXXXO,1,"[0, 2, 1, 2, 2, 1, 1, 1, 2]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOXXOOO X,8,"[1, 2, 1, 1, 2, 2, 2, 0, 1]"
 X   X O ,1,"[0, 1, 0, 0, 0, 1, 0, 2, 0]"
 X O    X,5,"[0, 1, 0, 2, 0, 0, 0, 0, 1]"
  O X   X,1,"[0, 0, 2, 0, 1, 0, 0, 0, 1]"
 XX OO   ,1,"[0, 1, 1, 0, 2, 2, 0, 0, 0]"
X O    X ,9,"[1, 0, 2, 0, 0, 0, 0, 1, 0]"
X O O   X,7,"[1, 0, 2, 0, 2, 0, 0, 0, 1]"
   XO XXO,1,"[0, 0, 0, 1, 2, 0, 1, 1, 2]"
OOXX X XO,5,"[2, 2, 1, 1, 0, 1, 0, 1, 2]"
 XX  OOXO,4,"[0, 1, 1, 0, 0, 2, 2, 1, 2]"
  O   XX ,9,"[0, 0, 2, 0, 0, 0, 1, 1, 0]"
 OXX X O ,5,"[0, 2, 1, 1, 0, 1, 0, 2, 0]"
 XO      ,9,"[0, 1, 2, 0, 0, 0, 0, 0, 0]"
O XOO X X,8,"[2, 0, 1, 2, 2, 0, 1, 0, 1]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OOXX XO ,1,"[0, 2, 2, 1, 1, 0, 1, 2, 0]"
XX X OOXO,3,"[1, 1, 0, 1, 0, 2, 2, 1, 2]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XXOOOX OX,7,"[1, 1, 2, 2, 2, 1, 0, 2, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  O  X  X,1,"[0, 0, 2, 0, 0, 1, 0, 0, 1]"
 X O OX X,5,"[0, 1, 0, 2, 0, 2, 1, 0, 1]"
  XXOO  X,1,"[0, 0, 1, 1, 2, 2, 0, 0, 1]"
OOXX    X,5,"[2, 2, 1, 1, 0, 0, 0, 0, 1]"
 OO X XOX,1,"[0, 2, 2, 0, 1, 0, 1, 2, 1]"
OXXOX  O ,7,"[2, 1, 1, 2, 1, 0, 0, 2, 0]"
   O  X  ,9,"[0, 0, 0, 2, 0, 0, 1, 0, 0]"
OX  X   O,3,"[2, 1, 0, 0, 1, 0, 0, 0, 2]"
  X  OXO ,2,"[0, 0, 1, 0, 0, 2, 1, 2, 0]"
OO XX  X ,3,"[2, 2, 0, 1, 1, 0, 0, 1, 0]"
     X XO,2,"[0, 0, 0, 0, 0, 1, 0, 1, 2]"
 XX OOOX ,1,"[0, 1, 1, 0, 2, 2, 2, 1, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
X  O   X ,5,"[1, 0, 0, 2, 0, 0, 0, 1, 0]"
OXX   OXO,5,"[2, 1, 1, 0, 0, 0, 2, 1, 2]"
  OOX   X,2,"[0, 0, 2, 2, 1, 0, 0, 0, 1]"
 O X OXX ,1,"[0, 2, 0, 1, 0, 2, 1, 1, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  XXOXOXO,1,"[0, 0, 1, 1, 2, 1, 2, 1, 2]"
 XX OOXOX,4,"[0, 1, 1, 0, 2, 2, 1, 2, 1]"
     X O ,5,"[0, 0, 0, 0, 0, 1, 0, 2, 0]"
O  O XX  ,9,"[2, 0, 0, 2, 0, 1, 1, 0, 0]"
 XXOOX   ,7,"[0, 1, 1, 2, 2, 1, 0, 0, 0]"
   O   X ,5,"[0, 0, 0, 2, 0, 0, 0, 1, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   O X   ,8,"[0, 0, 0, 2, 0, 1, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
 X  XO   ,7,"[0, 1, 0, 0, 1, 2, 0, 0, 0]"
   OX   X,7,"[0, 0, 0, 2, 1, 0, 0, 0, 1]"
 X       ,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
 XXO O  X,1,"[0, 1, 1, 2, 0, 2, 0, 0, 1]"
XXOOO X  ,6,"[1, 1, 2, 2, 2, 0, 1, 0, 0]"
OX    X  ,8,"[2, 1, 0, 0, 0, 0, 1, 0, 0]"
  O   X  ,1,"[0, 0, 2, 0, 0, 0, 1, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  XXOXO  ,9,"[0, 0, 1, 1, 2, 1, 2, 0, 0]"
OXO XXO  ,8,"[2, 1, 2, 0, 1, 1, 2, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    XOO X,8,"[0, 0, 0, 0, 1, 2, 2, 0, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OXO OXX ,5,"[0, 2, 1, 2, 0, 2, 1, 1, 0]"
 OX      ,9,"[0, 2, 1, 0, 0, 0, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X XO  OOX,6,"[1, 0, 1, 2, 0, 0, 2, 2, 1]"
XXO  XOOX,5,"[1, 1, 2, 0, 0, 1, 2, 2, 1]"
OOX XXO  ,9,"[2, 2, 1, 0, 1, 1, 2, 0, 0]"
    X   O,7,"[0, 0, 0, 0, 1, 0, 0, 0, 2]"
    X    ,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
  OOXX   ,7,"[0, 0, 2, 2, 1, 1, 0, 0, 0]"
 XX     O,5,"[0, 1, 1, 0, 0, 0, 0, 0, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
 O   X   ,5,"[0, 2, 0, 0, 0, 1, 0, 0, 0]"
       XO,1,"[0, 0, 0, 0, 0, 0, 0, 1, 2]"
 OX   X  ,5,"[0, 2, 1, 0, 0, 0, 1, 0, 0]"
XOO  XXOX,5,"[1, 2, 2, 0, 0, 1, 1, 2, 1]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O XO X  ,8,"[0, 2, 0, 1, 2, 0, 1, 0, 0]"
   O  X  ,5,"[0, 0, 0, 2, 0, 0, 1, 0, 0]"
O   XOX X,2,"[2, 0, 0, 0, 1, 2, 1, 0, 1]"
  OOXO XX,7,"[0, 0, 2, 2, 1, 2, 0, 1, 1]"
O   XX O ,3,"[2, 0, 0, 0, 1, 1, 0, 2, 0]"
 X   O   ,5,"[0, 1, 0, 0, 0, 2, 0, 0, 0]"
X  X  O O,3,"[1, 0, 0, 1, 0, 0, 2, 0, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
 OX  XOX ,9,"[0, 2, 1, 0, 0, 1, 2, 1, 0]"
  O  XX  ,5,"[0, 0, 2, 0, 0, 1, 1, 0, 0]"
X   OX XO,3,"[1, 0, 0, 0, 2, 1, 0, 1, 2]"
    O  X ,7,"[0, 0, 0, 0, 2, 0, 0, 1, 0]"
XOX  OXO ,4,"[1, 2, 1, 0, 0, 2, 1, 2, 0]"
XXO XX OO,7,"[1, 1, 2, 0, 1, 1, 0, 2, 2]"
X OX  OX ,9,"[1, 0, 2, 1, 0, 0, 2, 1, 0]"
X    OX  ,5,"[1, 0, 0, 0, 0, 2, 1, 0, 0]"
 OOXOXXX ,1,"[0, 2, 2, 1, 2, 1, 1, 1, 0]"
 XXOX O  ,1,"[0, 1, 1, 2, 1, 0, 2, 0, 0]"
  OXOXXOX,2,"[0, 0, 2, 1, 2, 1, 1, 2, 1]"
XOOOOXXX ,9,"[1, 2, 2, 2, 2, 1, 1, 1, 0]"
 OXOX  OX,6,"[0, 2, 1, 2, 1, 0, 0, 2, 1]"
    X    ,9,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
X   O    ,4,"[1, 0, 0, 0, 2, 0, 0, 0, 0]"
   O XX  ,9,"[0, 0, 0, 2, 0, 1, 1, 0, 0]"
 OO XXX  ,1,"[0, 2, 2, 0, 1, 1, 1, 0, 0]"
  XO XXOO,1,"[0, 0, 1, 2, 0, 1, 1, 2, 2]"
X  XOXO  ,8,"[1, 0, 0, 1, 2, 1, 2, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O OX XX ,9,"[0, 2, 0, 2, 1, 0, 1, 1, 0]"
     X   ,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  XOOXXO ,2,"[0, 0, 1, 2, 2, 1, 1, 2, 0]"
X XO  O  ,8,"[1, 0, 1, 2, 0, 0, 2, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOXO OXX ,5,"[1, 2, 1, 2, 0, 2, 1, 1, 0]"
XO   XOX ,5,"[1, 2, 0, 0, 0, 1, 2, 1, 0]"
XX O     ,5,"[1, 1, 0, 2, 0, 0, 0, 0, 0]"
 XOO X X ,5,"[0, 1, 2, 2, 0, 1, 0, 1, 0]"
OO XX X  ,3,"[2, 2, 0, 1, 1, 0, 1, 0, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OOXX XOX ,5,"[2, 2, 1, 1, 0, 1, 2, 1, 0]"
O    X X ,3,"[2, 0, 0, 0, 0, 1, 0, 1, 0]"
   O X   ,7,"[0, 0, 0, 2, 0, 1, 0, 0, 0]"
 O XX O  ,1,"[0, 2, 0, 1, 1, 0, 2, 0, 0]"
XX XOXO O,8,"[1, 1, 0, 1, 2, 1, 2, 0, 2]"
    OX   ,9,"[0, 0, 0, 0, 2, 1, 0, 0, 0]"
    XX O ,1,"[0, 0, 0, 0, 1, 1, 0, 2, 0]"
O O XOX X,8,"[2, 0, 2, 0, 1, 2, 1, 0, 1]"
  O O XX ,1,"[0, 0, 2, 0, 2, 0, 1, 1, 0]"
O X OXOX ,9,"[2, 0, 1, 0, 2, 1, 2, 1, 0]"
XOX OOOXX,4,"[1, 2, 1, 0, 2, 2, 2, 1, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   X     ,5,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
XOO    X ,9,"[1, 2, 2, 0, 0, 0, 0, 1, 0]"
  O  OX X,2,"[0, 0, 2, 0, 0, 2, 1, 0, 1]"
XO  OXO X,3,"[1, 2, 0, 0, 2, 1, 2, 0, 1]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
O    X   ,3,"[2, 0, 0, 0, 0, 1, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OXX OOX ,1,"[0, 2, 1, 1, 0, 2, 2, 1, 0]"
X O   X O,4,"[1, 0, 2, 0, 0, 0, 1, 0, 2]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOXX XOO ,9,"[1, 2, 1, 1, 0, 1, 2, 2, 0]"
OXXXXOOO ,9,"[2, 1, 1, 1, 1, 2, 2, 2, 0]"
  OXOOX X,2,"[0, 0, 2, 1, 2, 2, 1, 0, 1]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
O   X  XO,3,"[2, 0, 0, 0, 1, 0, 0, 1, 2]"
O    X   ,3,"[2, 0, 0, 0, 0, 1, 0, 0, 0]"
OXX   XOO,5,"[2, 1, 1, 0, 0, 0, 1, 2, 2]"
O X XO   ,8,"[2, 0, 1, 0, 1, 2, 0, 0, 0]"
   X     ,6,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
X    OX  ,5,"[1, 0, 0, 0, 0, 2, 1, 0, 0]"
  X O    ,2,"[0, 0, 1, 0, 2, 0, 0, 0, 0]"
 X O XOOX,3,"[0, 1, 0, 2, 0, 1, 2, 2, 1]"
 X X OXO ,1,"[0, 1, 0, 1, 0, 2, 1, 2, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O O X X ,9,"[0, 2, 0, 2, 0, 1, 0, 1, 0]"
XO XOOOXX,3,"[1, 2, 0, 1, 2, 2, 2, 1, 1]"
X      O ,7,"[1, 0, 0, 0, 0, 0, 0, 2, 0]"
X OOOXXOX,2,"[1, 0, 2, 2, 2, 1, 1, 2, 1]"
X  O  X O,3,"[1, 0, 0, 2, 0, 0, 1, 0, 2]"
    X OXO,6,"[0, 0, 0, 0, 1, 0, 2, 1, 2]"
OOX X    ,9,"[2, 2, 1, 0, 1, 0, 0, 0, 0]"
XOO  XXO ,5,"[1, 2, 2, 0, 0, 1, 1, 2, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  X X O  ,1,"[0, 0, 1, 0, 1, 0, 2, 0, 0]"
  X   O  ,9,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
X XO XOXO,2,"[1, 0, 1, 2, 0, 1, 2, 1, 2]"
  XX O   ,1,"[0, 0, 1, 1, 0, 2, 0, 0, 0]"
       X ,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
X    OXO ,3,"[1, 0, 0, 0, 0, 2, 1, 2, 0]"
O      X ,7,"[2, 0, 0, 0, 0, 0, 0, 1, 0]"
X XX O  O,2,"[1, 0, 1, 1, 0, 2, 0, 0, 2]"
   X     ,7,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
XXOO  XXO,6,"[1, 1, 2, 2, 0, 0, 1, 1, 2]"
O       X,7,"[2, 0, 0, 0, 0, 0, 0, 0, 1]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  X OX   ,9,"[0, 0, 1, 0, 2, 1, 0, 0, 0]"
OOXXXO OX,7,"[2, 2, 1, 1, 1, 2, 0, 2, 1]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  O XX   ,4,"[0, 0, 2, 0, 1, 1, 0, 0, 0]"
  X  OXOX,5,"[0, 0, 1, 0, 0, 2, 1, 2, 1]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O  X  XXO,2,"[2, 0, 0, 1, 0, 0, 1, 1, 2]"
    X    ,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
 XXOXXO O,8,"[0, 1, 1, 2, 1, 1, 2, 0, 2]"
 X X O   ,1,"[0, 1, 0, 1, 0, 2, 0, 0, 0]"
  O    XX,5,"[0, 0, 2, 0, 0, 0, 0, 1, 1]"
 XXX OO O,1,"[0, 1, 1, 1, 0, 2, 2, 0, 2]"
XX O  OOX,5,"[1, 1, 0, 2, 0, 0, 2, 2, 1]"
OXXO X O ,7,"[2, 1, 1, 2, 0, 1, 0, 2, 0]"
  OOOXXX ,9,"[0, 0, 2, 2, 2, 1, 1, 1, 0]"
OOX X    ,4,"[2, 2, 1, 0, 1, 0, 0, 0, 0]"
X    O   ,3,"[1, 0, 0, 0, 0, 2, 0, 0, 0]"
OO X XX  ,5,"[2, 2, 0, 1, 0, 1, 1, 0, 0]"
   OO  XX,6,"[0, 0, 0, 2, 2, 0, 0, 1, 1]"
 O    X  ,1,"[0, 2, 0, 0, 0, 0, 1, 0, 0]"
O XOXX  O,7,"[2, 0, 1, 2, 1, 1, 0, 0, 2]"
XX O OX O,3,"[1, 1, 0, 2, 0, 2, 1, 0, 2]"
OXX XOOOX,4,"[2, 1, 1, 0, 1, 2, 2, 2, 1]"
    O   X,6,"[0, 0, 0, 0, 2, 0, 0, 0, 1]"
O  XO XX ,9,"[2, 0, 0, 1, 2, 0, 1, 1, 0]"
XX  XO  O,3,"[1, 1, 0, 0, 1, 2, 0, 0, 2]"
  O X OX ,6,"[0, 0, 2, 0, 1, 0, 2, 1, 0]"
 X   XOXO,5,"[0, 1, 0, 0, 0, 1, 2, 1, 2]"
X X  O   ,4,"[1, 0, 1, 0, 0, 2, 0, 0, 0]"
 XOOOXX X,8,"[0, 1, 2, 2, 2, 1, 1, 0, 1]"
X OXX   O,6,"[1, 0, 2, 1, 1, 0, 0, 0, 2]"
 X X  O  ,9,"[0, 1, 0, 1, 0, 0, 2, 0, 0]"
XXO   O  ,5,"[1, 1, 2, 0, 0, 0, 2, 0, 0]"
 XO XO OX,1,"[0, 1, 2, 0, 1, 2, 0, 2, 1]"
 XX   OO ,9,"[0, 1, 1, 0, 0, 0, 2, 2, 0]"
X  XX  OO,7,"[1, 0, 0, 1, 1, 0, 0, 2, 2]"
 XO OX   ,7,"[0, 1, 2, 0, 2, 1, 0, 0, 0]"
 O     XX,7,"[0, 2, 0, 0, 0, 0, 0, 1, 1]"
   X X  O,5,"[0, 0, 0, 1, 0, 1, 0, 0, 2]"
  XXO  OX,2,"[0, 0, 1, 1, 2, 0, 0, 2, 1]"
O O XXXOX,2,"[2, 0, 2, 0, 1, 1, 1, 2, 1]"
 OX OXX  ,9,"[0, 2, 1, 0, 2, 1, 1, 0, 0]"
X O XXO O,8,"[1, 0, 2, 0, 1, 1, 2, 0, 2]"
 X  O X  ,3,"[0, 1, 0, 0, 2, 0, 1, 0, 0]"
 OXOO  XX,6,"[0, 2, 1, 2, 2, 0, 0, 1, 1]"
XXOOXO   ,8,"[1, 1, 2, 2, 1, 2, 0, 0, 0]"
X OO X XO,7,"[1, 0, 2, 2, 0, 1, 0, 1, 2]"
 XX   O O,8,"[0, 1, 1, 0, 0, 0, 2, 0, 2]"
 OXXOOOXX,1,"[0, 2, 1, 1, 2, 2, 2, 1, 1]"
XX XO OO ,3,"[1, 1, 0, 1, 2, 0, 2, 2, 0]"
 OX O   X,8,"[0, 2, 1, 0, 2, 0, 0, 0, 1]"
 XO      ,5,"[0, 1, 2, 0, 0, 0, 0, 0, 0]"
 XOXX O  ,8,"[0, 1, 2, 1, 1, 0, 2, 0, 0]"
 X O OOXX,5,"[0, 1, 0, 2, 0, 2, 2, 1, 1]"
OXXO    X,6,"[2, 1, 1, 2, 0, 0, 0, 0, 1]"
OXO  XXOX,4,"[2, 1, 2, 0, 0, 1, 1, 2, 1]"
XX OO OX ,3,"[1, 1, 0, 2, 2, 0, 2, 1, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
OOXXXO OX,7,"[2, 2, 1, 1, 1, 2, 0, 2, 1]"
OX OXOXOX,3,"[2, 1, 0, 2, 1, 2, 1, 2, 1]"
XO  XX  O,4,"[1, 2, 0, 0, 1, 1, 0, 0, 2]"
 X   X O ,3,"[0, 1, 0, 0, 0, 1, 0, 2, 0]"
X XXOO OX,2,"[1, 0, 1, 1, 2, 2, 0, 2, 1]"
OXXO X XO,5,"[2, 1, 1, 2, 0, 1, 0, 1, 2]"
O     X  ,8,"[2, 0, 0, 0, 0, 0, 1, 0, 0]"
OOXXX  O ,6,"[2, 2, 1, 1, 1, 0, 0, 2, 0]"
 OO   X X,1,"[0, 2, 2, 0, 0, 0, 1, 0, 1]"
     O X ,5,"[0, 0, 0, 0, 0, 2, 0, 1, 0]"
 X     O ,6,"[0, 1, 0, 0, 0, 0, 0, 2, 0]"
O    OXX ,3,"[2, 0, 0, 0, 0, 2, 1, 1, 0]"
OXO XXXOO,4,"[2, 1, 2, 0, 1, 1, 1, 2, 2]"
    XOX  ,9,"[0, 0, 0, 0, 1, 2, 1, 0, 0]"
   XX OO ,9,"[0, 0, 0, 1, 1, 0, 2, 2, 0]"
OX X  O  ,5,"[2, 1, 0, 1, 0, 0, 2, 0, 0]"
     X   ,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
 O   XX  ,5,"[0, 2, 0, 0, 0, 1, 1, 0, 0]"
O     X  ,9,"[2, 0, 0, 0, 0, 0, 1, 0, 0]"
  XXXOO O,8,"[0, 0, 1, 1, 1, 2, 2, 0, 2]"
OOXXXO XO,7,"[2, 2, 1, 1, 1, 2, 0, 1, 2]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X       ,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
XOXX X OO,7,"[1, 2, 1, 1, 0, 1, 0, 2, 2]"
XX  O OX ,3,"[1, 1, 0, 0, 2, 0, 2, 1, 0]"
 O      X,3,"[0, 2, 0, 0, 0, 0, 0, 0, 1]"
 X  X OO ,9,"[0, 1, 0, 0, 1, 0, 2, 2, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XX  XOO ,9,"[0, 1, 1, 0, 0, 1, 2, 2, 0]"
  OX OXOX,1,"[0, 0, 2, 1, 0, 2, 1, 2, 1]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
XX XXOOO ,9,"[1, 1, 0, 1, 1, 2, 2, 2, 0]"
  OXX    ,6,"[0, 0, 2, 1, 1, 0, 0, 0, 0]"
 X      O,3,"[0, 1, 0, 0, 0, 0, 0, 0, 2]"
    X    ,7,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
  XO O XX,7,"[0, 0, 1, 2, 0, 2, 0, 1, 1]"
X OOX    ,8,"[1, 0, 2, 2, 1, 0, 0, 0, 0]"
   XX   O,6,"[0, 0, 0, 1, 1, 0, 0, 0, 2]"
     O X ,5,"[0, 0, 0, 0, 0, 2, 0, 1, 0]"
 X  OX O ,3,"[0, 1, 0, 0, 2, 1, 0, 2, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   OXOXXO,2,"[0, 0, 0, 2, 1, 2, 1, 1, 2]"
OX  OOXX ,9,"[2, 1, 0, 0, 2, 2, 1, 1, 0]"
     X   ,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
XOXX O   ,7,"[1, 2, 1, 1, 0, 2, 0, 0, 0]"
OO  XX X ,4,"[2, 2, 0, 0, 1, 1, 0, 1, 0]"
   OX OXX,1,"[0, 0, 0, 2, 1, 0, 2, 1, 1]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
     X  O,5,"[0, 0, 0, 0, 0, 1, 0, 0, 2]"
 O OXXO X,3,"[0, 2, 0, 2, 1, 1, 2, 0, 1]"
 X  X XOO,3,"[0, 1, 0, 0, 1, 0, 1, 2, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XOO    X,5,"[0, 1, 2, 2, 0, 0, 0, 0, 1]"
XOOO X X ,9,"[1, 2, 2, 2, 0, 1, 0, 1, 0]"
  OXXOO X,2,"[0, 0, 2, 1, 1, 2, 2, 0, 1]"
 X       ,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
  X XOOX ,2,"[0, 0, 1, 0, 1, 2, 2, 1, 0]"
 O  XX OX,7,"[0, 2, 0, 0, 1, 1, 0, 2, 1]"
